City,Date,Air Quality,Index Value,,,,,,,,,,,,,,,,,,,
Agra,01-01-2018,Severe,448,,,,,,,,,,,,,,,,,,,
Ahmedabad,01-01-2018,Moderate,190,,,,,,,,,,,,,,,,,,,
Ajmer,01-01-2018,Satisfactory,60,,,,,,,,,,,,,,,,,,,
Asansol,01-01-2018,,,,,,,,,,,,,,,,,,,,,
Bengaluru,01-01-2018,Moderate,110,,,,,,,,,,,,,,,,,,,
Chennai,01-01-2018,Satisfactory,93,,,,,,,,,,,,,,,,,,,
Delhi,01-01-2018,Very Poor,400,,,,,,,,,,,,,,,,,,,
Gurgaon,01-01-2018,Very Poor,378,,,,,,,,,,,,,,,,,,,
Hyderabad,01-01-2018,Moderate,121,,,,,,,,,,,,,,,,,,,
Jaipur,01-01-2018,Poor,223,,,,,,,,,,,,,,,,,,,
Kanpur,01-01-2018,Very Poor,393,,,,,,,,,,,,,,,,,,,
Kolkata,01-01-2018,,,,,,,,,,,,,,,,,,,,,
Lucknow,01-01-2018,Very Poor,332,,,,,,,,,,,,,,,,,,,
Ludhiana,01-01-2018,Poor,276,,,,,,,,,,,,,,,,,,,
Mumbai,01-01-2018,Moderate,192,,,,,,,,,,,,,,,,,,,
Nagpur,01-01-2018,Poor,217,,,,,,,,,,,,,,,,,,,
Noida,01-01-2018,Severe,483,,,,,,,,,,,,,,,,,,,
Patna,01-01-2018,,,,,,,,,,,,,,,,,,,,,
Pune,01-01-2018,Satisfactory,75,,,,,,,,,,,,,,,,,,,
Siliguri,01-01-2018,,,,,,,,,,,,,,,,,,,,,
Thiruvananthapuram,01-01-2018,Moderate,121,,,,,,,,,,,,,,,,,,,
Ujjain,01-01-2018,Severe,435,,,,,,,,,,,,,,,,,,,
Varanasi,01-01-2018,Very Poor,364,,,,,,,,,,,,,,,,,,,
Visakhapatnam,01-01-2018,Moderate,132,,,,,,,,,,,,,,,,,,,
Agra,01-02-2018,Very Poor,391,,,,,,,,,,,,,,,,,,,
Ajmer,01-02-2018,Moderate,125,,,,,,,,,,,,,,,,,,,
Asansol,01-02-2018,,,,,,,,,,,,,,,,,,,,,
Bengaluru,01-02-2018,Moderate,130,,,,,,,,,,,,,,,,,,,
Chennai,01-02-2018,Satisfactory,99,,,,,,,,,,,,,,,,,,,
Delhi,01-02-2018,Severe,408,,,,,,,,,,,,,,,,,,,
Gurgaon,01-02-2018,,,,,,,,,,,,,,,,,,,,,
Hyderabad,01-02-2018,Moderate,138,,,,,,,,,,,,,,,,,,,
Jaipur,01-02-2018,Poor,206,,,,,,,,,,,,,,,,,,,
